Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Hassocks Close, London, SE26","£600,000",Terraced,3.0,1.0,Ask agent
"Uxbridge Road, West Ealing W13","£610,000",Apartment,2.0,2.0,701 sq ft
"Oakey Lane, London, SE1","£610,000",Apartment,2.0,1.0,Ask agent
"Regents View, Hackney Road, Bethnal Green, E2","£610,000",Apartment,1.0,1.0,555 sq ft
"Tellicherry Court, Oxbow, Aberfeldy New Village, London, E14","£610,000",Apartment,2.0,1.0,800 sq ft
"Belmont Street,
Camden,
NW1 8HF","£610,000",Apartment,1.0,1.0,536 sq ft
"Silkstream, Hendon, LONDON, NW9","£610,000",Flat,2.0,2.0,765 sq ft
"Powell Road, Lower Clapton, E5","£610,000",Apartment,2.0,1.0,620 sq ft
"Cranmore Road, Chislehurst","£610,000",Terraced,3.0,1.0,Ask agent
"Topham Street, London, EC1R","£610,000",Flat,2.0,2.0,785 sq ft
"Grove Park Road, Tottenham","£610,000",Terraced,3.0,1.0,Ask agent
"Aberfeldy Square, Poplar, E14","£610,000",Apartment,2.0,2.0,800 sq ft
"Amory Tower, Marsh Wall, Canary Wharf, E14","£610,000",Flat,1.0,1.0,Ask agent
"Falcon Lodge, admiral walk, W9","£610,000",Flat,2.0,2.0,Ask agent
"Waterman Gardens, 3 Tidemill Square, Lower Riverside, Greenwich Peninsula, SE10","£610,000",Flat,2.0,1.0,860 sq ft
"Hanwell Square,
Boston Road,
London,
W7","£610,000",Apartment,2.0,,Ask developer
"Charles Clowes Walk, Nine Elms, London, SW11","£610,000",Flat,1.0,1.0,572 sq ft
"Meadowview Road, Raynes Park,
SW20 9BD","£610,000",Apartment,2.0,,Ask developer
"Shoreditch Parkside, Marketing Suite, Mono Tower, Hoxton Press, Penn Street, London, N1","£610,000",Apartment,1.0,1.0,538 sq ft
"13 - 15 Dod Street,
London,
E14 7EP","£610,000",Flat,2.0,,767 sq ft
"Montagu Place, London, W1H","£610,000",Flat,1.0,1.0,692 sq ft
"Cavendish Grove, Raynes Park","£610,000",Flat,2.0,2.0,753 sq ft
"The Corniche, 23 Albert Embankment, London","£610,000",Apartment,1.0,1.0,Ask agent
"Aspen, Marsh Wall, E14","£610,000",Apartment,1.0,1.0,Ask agent
"Carrara Wharf, Ranelagh Gardens, London, SW6","£610,000",Flat,2.0,2.0,750 sq ft
"Broomwood Road, London, SW11","£600,000",Apartment,1.0,1.0,662 sq ft
"Hoola, Tidal Basin Road, London, E16","£610,000",Apartment,2.0,2.0,"1,114 sq ft"
"Delafield Road, London, SE7","£610,000",Terraced,3.0,1.0,Ask agent
"Meadowview Road, Raynes Park,
SW20 9BD","£610,000",Apartment,2.0,,Ask developer
"River Gardens Walk, London, SE10","£610,000",Apartment,2.0,2.0,760 sq ft
"Hampton Road, Chingford","£610,000",Terraced,5.0,3.0,Ask agent
"Venture Court, Bermondsey Street, SE1","£610,000",Flat,2.0,2.0,680 sq ft
"Chronicle Tower, 261b City Road, London, EC1V","£610,000",Flat,1.0,1.0,527 sq ft
"Bury Street, London, N9","£610,000",House,4.0,2.0,Ask agent
"Churchyard Row, London, SE11","£610,000",Apartment,2.0,1.0,782 sq ft
"Durham Road, London, N2","£610,000",Apartment,2.0,1.0,Ask agent
"The Heron, The City, London","£610,000",Apartment,1.0,1.0,477 sq ft
"361-365  Chiswick High Road, W4","£610,000",Flat,1.0,1.0,614 sq ft
