Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Eloise House, Portland Road","£330,000",Apartment,1.0,1.0,518 sq ft
"Wimbledon Park Side, Putney","£340,000",Flat,1.0,1.0,Ask agent
"Rolfe Terrace, Woolwich, London","£340,000",Apartment,1.0,1.0,Ask agent
"Rectory Square, LONDON","£340,000",Flat,1.0,1.0,Ask agent
"Kingston Road, London, SW20","£340,000",Flat,1.0,1.0,388 sq ft
"Witley Court, Coram Street, Bloomsbury, London, WC1N","£340,000",Apartment,,1.0,230 sq ft
"Parish Lane, London","£340,000",Flat,1.0,1.0,465 sq ft
"Cribb Lodge, 20 Love Lane, Woolwich, London, SE18","£340,000",Apartment,2.0,1.0,Ask agent
"Blackwell Close, London","£340,000",Flat,2.0,2.0,665 sq ft
"King Henry Lodge, London","£340,000",Apartment,2.0,1.0,Ask agent
"Hopewell Yard, Hopewell Street, London, SE5","£340,000",Flat,2.0,1.0,Ask agent
"48 Warton Road, London, E15","£340,000",Apartment,1.0,1.0,Ask agent
"Brockley Road, Brockley, SE4","£340,000",Apartment,1.0,1.0,Ask agent
"Woodlands Grove, Isleworth","£340,000",Apartment,2.0,1.0,680 sq ft
"Malvern Road, London, NW6","£340,000",Flat,2.0,1.0,Ask agent
"Bramwell Way, London, E16 2GS","£340,000",Flat,1.0,1.0,Ask agent
"Marmont Road, London","£340,000",Flat,1.0,1.0,593 sq ft
"Jefferson Plaza, Bow, London, E3","£340,000",Flat,1.0,1.0,470 sq ft
"Wells Drive, London, NW9","£340,000",Maisonette,2.0,1.0,Ask agent
"King Henry Lodge, London","£340,000",Retirement Property,2.0,1.0,Ask agent
"Fairfield Road, Bow Quarter, E3","£340,000",Apartment,1.0,1.0,578 sq ft
"Duncombe House, Royal Arsenal, Victory Parade, Woolwich, London, SE18","£340,000",Apartment,1.0,1.0,Ask agent
"Little Dimocks, London, SW12","£340,000",Flat,1.0,1.0,466 sq ft
"Sherard Road, Eltham, SE9 6EX","£340,000",Flat,2.0,1.0,Ask agent
"St. Cyprians Court, Braxfield Road, London, SE4","£340,000",Apartment,1.0,1.0,Ask agent
"Artichoke Hill, Wapping","£340,000",Flat,2.0,1.0,Ask agent
"Aubyn Hill, London, SE27 9","£340,000",Flat,3.0,1.0,738 sq ft
"102 Bollo Lane, Chiswick  London, W4","£340,000",Apartment,1.0,1.0,Ask agent
"Pettacre Close, Thamesmead West, SE28","£340,000",Flat,2.0,2.0,Ask agent
"22 Blake Court, Newsholme Drive, London","£340,000",Retirement Property,2.0,1.0,Ask agent
"Sherard Road, Eltham, SE9 6EX","£340,000",Flat,2.0,1.0,Ask agent
"Lyell Street, London, E14","£340,000",Flat,1.0,1.0,403 sq ft
"Hither Green Lane, London","£340,000",Apartment,2.0,1.0,Ask agent
"Sark Tower, Erebus Drive, London","£340,000",Apartment,2.0,2.0,775 sq ft
"Maddams Street, Bow E3","£340,000",Maisonette,3.0,1.0,731 sq ft
"Peveril House, London, SE1","£340,000",Flat,1.0,,Ask agent
"Malting Way, Isleworth","£340,000",Apartment,2.0,1.0,Ask agent
"Sutton Road, London, E13","£340,000",Flat,2.0,,Ask agent
"Merriam Close, London, E4","£340,000",Flat,1.0,1.0,Ask agent
"Ewelme Road, Forest Hill, SE23 3BH","£340,000",Apartment,2.0,1.0,Ask agent
"Boyce Way, London, E13","£340,000",Flat,2.0,,Ask agent
"Fairmead Court, Forest Avenue, Chingford","£340,000",Ground Flat,2.0,1.0,710 sq ft
"Pinnacle House, 6A Colman Parade, Enfield, EN1","£340,000",Flat,2.0,2.0,Ask agent
"Summerwood Road, Isleworth","£340,000",Flat,3.0,1.0,936 sq ft
"Pembury Road, Hackney, London, E5","£340,000",Flat,3.0,1.0,673 sq ft
"Court Farm Road, London","£340,000",Apartment,2.0,,Ask agent
"111 Catford Hill, Catford, SE6","£340,000",Flat,2.0,1.0,Ask agent
"2 Artichoke Hill, London, E1W","£340,000",Apartment,2.0,1.0,Ask agent
"Ellington House, Borough","£340,000",Flat,2.0,1.0,Ask agent
"Peregrine Apartments, 30 Moorhen Drive, London, NW9","£340,000",Apartment,1.0,1.0,Ask agent
"Leigham Court Road, London, SW16","£340,000",Apartment,2.0,,Ask agent
"Blackdown Close, London, N2","£340,000",Apartment,2.0,1.0,513 sq ft
"West Parkside, London, SE10","£340,000",Apartment,1.0,1.0,624 sq ft
"Maud Street, E16","£340,000",Apartment,1.0,1.0,Ask agent
"Brimsdown House, Devas Street, London, E3","£340,000",House,2.0,1.0,593 sq ft
"Ability Place, Millharbour, London E14","£340,000",Flat,1.0,1.0,560 sq ft
"Braxfield Road, Brockley, SE4","£340,000",Apartment,1.0,1.0,Ask agent
"Victoria Crescent, London, SE19","£340,000",Apartment,2.0,1.0,Ask agent
"St. Cyprians Court, Braxfield Road, London, SE4","£340,000",Flat,1.0,1.0,Ask agent
"Thorndike House, Pimlico, London, SW1V","£340,000",Studio,,1.0,330 sq ft
"Maddams Street, London, E3","£340,000",Maisonette,3.0,1.0,776 sq ft
"Hay Currie Street, Poplar, London, E14","£340,000",Flat,1.0,1.0,529 sq ft
"53 Upper North Street, Poplar, London, E14","£340,000",Flat,1.0,1.0,594 sq ft
"Voss Court, Streatham","£340,000",Flat,1.0,1.0,Ask agent
"Fladgate Road, Leytonstone","£340,000",Apartment,1.0,1.0,443 sq ft
"Paulet Road, London","£340,000",Detached,1.0,1.0,Ask agent
"Merriam Close, London, E4","£340,000",Flat,1.0,1.0,550 sq ft
"Medawar Drive, Mill Hill, London","£340,000",Flat,1.0,1.0,Ask agent
"Vista House, Chapter Way, Colliers Wood, SW19","£340,000",Flat,1.0,1.0,Ask agent
"Blake Court, Winchmore Hill, N21","£340,000",Retirement Property,2.0,1.0,860 sq ft
"Pomeroy Street, London","£340,000",Flat,4.0,1.0,980 sq ft
