Address,Price,Property Type,Bedrooms,Bathrooms,Size
"The Quadrangle, London, W2","£800,000",Flat,2.0,2.0,"1,022 sq ft"
"Winchester Court, Vicarage Gate, London, W8","£820,000",Apartment,2.0,1.0,Ask agent
"Skylark Point, Newnton Close, London, N4","£820,000",Apartment,2.0,2.0,Ask agent
"Marsh Wall, Canary Wharf, E14 9EG","£820,000",Apartment,2.0,2.0,822 sq ft
"Slievemore Close, Clapham","£820,000",Semi-Detached,3.0,2.0,Ask agent
"Farm Lane, London, SW6","£820,000",Apartment,1.0,1.0,647 sq ft
"Woodseer Street, London, E1","£820,000",End of Terrace,3.0,2.0,Ask agent
"Eagle Point, London, EC1V","£820,000",Flat,2.0,2.0,807 sq ft
"Amber Apartment, Woodberry Down, N4","£820,000",Apartment,2.0,2.0,849 sq ft
"Clapham Park Marketing Suite,
107 Clarence Avenue,
London,
SW4 8FR","£820,000",Apartment,3.0,,Ask developer
"The Arc, 225 City Rd, London, London, EC1V","£820,000",Apartment,1.0,1.0,543 sq ft
"The Arc, 225 City Rd, London, London, EC1V","£820,000",Apartment,1.0,1.0,543 sq ft
"Chalk Farm Road, London","£820,000",Flat,1.0,1.0,548 sq ft
"Park Street, Fulham, SW6","£820,000",Apartment,2.0,2.0,Ask agent
"Riverlight Three, Riverlight Quay, London, SW11","£820,000",Apartment,2.0,2.0,Ask agent
"Skylark Point, Newnton Close, London, N4","£820,000",Apartment,2.0,2.0,Ask agent
"Artisan Quarter, London, NW10","£820,000",Terraced,4.0,2.0,"1,346 sq ft"
"Eversleigh Road, Battersea, London, SW11","£820,000",Terraced,2.0,1.0,847 sq ft
"Lanchester Way, London, SW11","£820,000",Apartment,2.0,2.0,731 sq ft
"Barry Road, East Dulwich, London, SE22","£820,000",House,2.0,1.0,Ask agent
"Osier Crescent, London","£820,000",Terraced,4.0,3.0,Ask agent
"Montague Road, Richmond, Surrey, UK, TW10","£820,000",Apartment,2.0,2.0,Ask agent
"Montague Road, Richmond Hill","£820,000",Apartment,2.0,2.0,Ask agent
"Murrain Road, London, N4","£820,000",Flat,2.0,2.0,Ask agent
"St. George Wharf, London, SW8","£820,000",Apartment,2.0,2.0,815 sq ft
"Dawson Street, Hoxton, London, E2","£800,000",Flat,2.0,2.0,795 sq ft
"St Georges Square, Pimlico, London, SW1V","£820,000",Flat,1.0,1.0,562 sq ft
"Rosendale Road, London","£820,000",Maisonette,4.0,2.0,Ask agent
"Spanish Place, London, W1U","£820,000",Apartment,1.0,1.0,578 sq ft
