Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Finchley Road, Hampstead, London, NW3","£475,000",Flat,1.0,1.0,536 sq ft
"Wandon Road, London, SW6","£475,000",Flat,2.0,1.0,Ask agent
"Norman Road, Greenwich, SE10","£475,000",Apartment,2.0,2.0,Ask agent
"Algiers Road, Ladywell","£475,000",Flat,2.0,1.0,Ask agent
"Choumert Road, Peckham Rye, London, SE15","£475,000",Apartment,2.0,1.0,Ask agent
"Vernon Road, Stratford","£475,000",Terraced,2.0,2.0,Ask agent
"Arena Tower, 25 Crossharbour Plaza","£475,000",Apartment,1.0,1.0,548 sq ft
"Park Road, London","£475,000",Flat,,1.0,Ask agent
"Salford Road, Balham","£475,000",Flat,2.0,1.0,Ask agent
"Frazer Nash Close, Isleworth","£475,000",Apartment,2.0,2.0,812 sq ft
"Portobello Road, London, W11","£475,000",Apartment,1.0,1.0,474 sq ft
"Whewell Road, Upper Holloway","£475,000",Flat,2.0,1.0,Ask agent
"Aldbourne Road, London, W12","£475,000",Apartment,1.0,1.0,Ask agent
"Packington Street, Islington, N1 7FZ","£475,000",Apartment,1.0,1.0,492 sq ft
"Courtney Road, Colliers Wood","£475,000",Maisonette,2.0,1.0,Ask agent
"Sandrock Road, Lewisham","£475,000",Flat,2.0,1.0,Ask agent
"Boundary Road, Colliers Wood","£475,000",Maisonette,2.0,1.0,730 sq ft
"Oh So Close, Somerset Road, Ealing","£475,000",Studio,,1.0,507 sq ft
"Greville Place, St Johns Wood, NW6","£475,000",Apartment,1.0,1.0,500 sq ft
"Wheat Sheaf Close, London, E14","£475,000",Apartment,2.0,2.0,Ask agent
"Eliot Place, LONDON","£475,000",Apartment,2.0,1.0,Ask agent
"Dalling Road, London","£475,000",Flat,1.0,1.0,Ask agent
"Hoola, Tidal Basin Road, London","£475,000",Apartment,1.0,1.0,691 sq ft
"Odin House, Flaxman Road, London, SE5","£475,000",Flat,3.0,1.0,Ask agent
"Westminster Bridge Road, London, SE1","£475,000",Apartment,1.0,1.0,Ask agent
"The Coach Yard, Balmoral Road, London","£475,000",Duplex,1.0,1.0,480 sq ft
"St. Alphege Road, Edmonton, N9","£475,000",Terraced,3.0,1.0,Ask agent
"Bow Common Lane, Bow, London, E3","£475,000",Maisonette,3.0,1.0,920 sq ft
"Thackeray Court, London, NW6","£475,000",Flat,1.0,1.0,566 sq ft
"Peartree Way, Greenwich","£475,000",Flat,2.0,2.0,Ask agent
"Tremadoc Road, London","£475,000",Apartment,2.0,1.0,Ask agent
"Essex Road, London, N1","£475,000",Apartment,2.0,1.0,Ask agent
"Vincent Gardens, London, NW2","£475,000",Maisonette,2.0,1.0,Ask agent
"Pan Peninsula Square, Canary Wharf, E14","£475,000",Apartment,1.0,1.0,Ask agent
"Crawford Building, Aldgate, E1","£475,000",Apartment,1.0,1.0,486 sq ft
"Grafton Crescent, London, NW1","£475,000",Flat,1.0,1.0,Ask agent
"Brackenbury Gardens, 
Shepherds Bush Green, W6","£475,000",Flat,1.0,1.0,495 sq ft
"Langdon Park Road, London","£475,000",Apartment,1.0,1.0,Ask agent
"Plot 7, Charlotte Court, Oakwood","£475,000",Apartment,2.0,1.0,667 sq ft
"Carew Road, London","£475,000",Apartment,2.0,1.0,Ask agent
"Newham way, E6, Beckton, London, E6","£475,000",Terraced,3.0,2.0,889 sq ft
"Elm Grove, Wimbledon","£475,000",Flat,1.0,1.0,603 sq ft
"Bath Terrace, London Bridge","£475,000",Flat,3.0,1.0,Ask agent
"Winchester Street, 
Pimlico., SW1V","£475,000",Flat,1.0,1.0,Ask agent
"Fairwater House, 3 Bonnet Street, E16","£475,000",Apartment,1.0,1.0,606 sq ft
"Goldhawk Road, London","£475,000",Apartment,1.0,1.0,Ask agent
"Bourne Place, London","£475,000",Flat,1.0,1.0,528 sq ft
"Weybourne Street, 
Earlsfield, SW18","£475,000",Flat,2.0,1.0,Ask agent
"Grafton Crescent, Kentish Town, London, NW1","£475,000",Flat,1.0,1.0,921 sq ft
"Northstand Apartments, Highbury Stadium Square, London, N5","£475,000",Apartment,1.0,1.0,594 sq ft
"Perry Rise, Forest Hill, London, SE23 2QX","£475,000",Apartment,2.0,1.0,777 sq ft
"Tulse Hill, London, SW2","£475,000",Apartment,2.0,1.0,689 sq ft
"Willesden Lane, Brondesbury Park","£475,000",Flat,2.0,2.0,Ask agent
"Cranley Gardens, London, N13","£475,000",Apartment,2.0,1.0,Ask agent
"Cavendish Avenue, West Ealing , Ealing , W13","£475,000",Maisonette,2.0,1.0,Ask agent
"Kensington Church Street, Royal Borough of Kensington and Chelsea, W8","£475,000",Flat,1.0,1.0,444 sq ft
"Chilworth Mews, Paddington, W2","£475,000",Apartment,1.0,1.0,355 sq ft
"Denison House, Lanterns Way, E14","£475,000",Apartment,2.0,2.0,Ask agent
"Walterton Road, Maida Vale, London, W9","£475,000",Flat,1.0,1.0,688 sq ft
"Charrington Tower, Biscayne Avenue, London, E14","£475,000",Flat,1.0,1.0,542 sq ft
"West Barnes Lane, New Malden, KT3","£475,000",Terraced,2.0,,Ask agent
"Bethnal Green Road, London, E2","£475,000",Flat,2.0,1.0,663 sq ft
"Scott Avenue, London","£475,000",Flat,1.0,1.0,Ask agent
"Tulip Court, Alpine Road, Kingsbury, NW9","£475,000",Apartment,2.0,2.0,800 sq ft
"Portsmouth Road, London, SW15","£475,000",Apartment,1.0,1.0,Ask agent
"Imperial Court, Odessa Street, Rotherhithe SE16","£475,000",Apartment,1.0,1.0,574 sq ft
"Bolingbroke Road, Shepherds Bush","£475,000",Flat,1.0,1.0,Ask agent
"Southfield Road, London","£475,000",Maisonette,2.0,1.0,Ask agent
"Brixton Hill, London, SW2","£475,000",Apartment,1.0,1.0,Ask agent
"Becmead Avenue, Streatham","£475,000",Flat,2.0,1.0,Ask agent
"Manton Road, Abbeywood, SE2","£475,000",Semi-Detached,4.0,1.0,Ask agent
"Francis Road, London E10 6PP","£475,000",Flat,2.0,1.0,Ask agent
"Tyers Street, Kennington","£475,000",Flat,2.0,1.0,Ask agent
"Blenheim Road, Raynes Park","£475,000",Flat,1.0,1.0,Ask agent
"Stondon Park, Forest Hill","£475,000",Flat,2.0,1.0,Ask agent
"Brondesbury Park, London, NW2","£475,000",Apartment,2.0,1.0,Ask agent
"Brading Road, London, SW2","£475,000",Maisonette,2.0,1.0,Ask agent
South Quay Square London E14,"£475,000",Flat,1.0,1.0,Ask agent
"Flour Millers House, E14, Poplar, London, E14","£475,000",Flat,2.0,2.0,758 sq ft
Park Court,"£475,000",Apartment,3.0,1.0,Ask agent
"Honor Oak Park, Forest Hill","£475,000",Apartment,3.0,1.0,Ask agent
"Pennine Drive, Golders Green Estate, NW2","£475,000",Apartment,2.0,1.0,854 sq ft
"Colin Road, London, NW10","£475,000",Flat,2.0,2.0,Ask agent
"Sancroft Close, London, NW2","£475,000",Terraced,3.0,1.0,Ask agent
"Portnall Road, Maida Hill, London, W9","£475,000",Flat,1.0,1.0,447 sq ft
"Trinity Walk, London, SE18","£475,000",Apartment,2.0,2.0,794 sq ft
"Grange Road, London, W5","£475,000",Apartment,2.0,1.0,Ask agent
"Duncan Terrace, London, N1","£475,000",Flat,1.0,1.0,393 sq ft
"Ratcliffe Cross Street, Wapping","£475,000",Flat,1.0,1.0,Ask agent
"Blenheim Road, Raynes Park","£475,000",Flat,1.0,1.0,614 sq ft
"Kew Gardens Road, 
Kew, TW9","£475,000",Flat,1.0,1.0,512 sq ft
"Colney Hatch Lane, Muswell Hill, N10","£475,000",Apartment,2.0,2.0,850 sq ft
"Avenue Road, London, SW16","£475,000",Terraced,3.0,1.0,Ask agent
"Mostyn Road, EDGWARE, Middlesex, HA8","£475,000",Terraced,3.0,2.0,Ask agent
"Glen Albyn Road, Southfields, London, SW19","£475,000",Flat,5.0,1.0,"1,085 sq ft"
"Fulham Broadway, London, SW6","£475,000",Apartment,1.0,1.0,447 sq ft
"Tritton House, 3 Ryeland Boulevard, London, SW18","£475,000",Apartment,1.0,1.0,555 sq ft
"Upland Road, London","£475,000",Apartment,1.0,1.0,Ask agent
"Linkway, Raynes Park, SW20","£475,000",Maisonette,3.0,1.0,Ask agent
"Cunningham Court, Oliver Road, Leyton","£475,000",Apartment,2.0,2.0,906 sq ft
"Aquarius House, 15 St. George Wharf, SW8","£475,000",Apartment,1.0,1.0,503 sq ft
"Colin Road, Willesden Green","£475,000",Flat,2.0,2.0,Ask agent
"Tredegar Road, E3, Bow, London, E3","£475,000",Flat,2.0,2.0,784 sq ft
"Prince Of Wales Road, London, NW5","£475,000",Apartment,2.0,1.0,Ask agent
"Oakleigh Road North, London","£475,000",Flat,2.0,1.0,Ask agent
"The Listed Building, The Highway, London, E1W","£475,000",Apartment,1.0,1.0,750 sq ft
"Bicycle Mews, Clapham","£475,000",Flat,1.0,1.0,Ask agent
"Crescent Road, Crouch End","£475,000",Flat,1.0,1.0,Ask agent
"Lyveden Road, London, SW17 9DT","£475,000",Flat,2.0,1.0,845 sq ft
"Litchfield Gardens, Willesden","£475,000",Flat,2.0,1.0,Ask agent
"Tenterden Grove, London","£475,000",Flat,2.0,1.0,Ask agent
"1A Hillreach, London, SE18","£475,000",Apartment,2.0,2.0,737 sq ft
"St. Georges Grove, Earlsfield","£475,000",Flat,2.0,2.0,Ask agent
"Sloane Avenue, London, SW3","£475,000",Apartment,,1.0,371 sq ft
"Benares Road, Plumstead","£475,000",Terraced,3.0,1.0,Ask agent
"Gaumont Place, Streatham Hill, SW2","£475,000",Apartment,1.0,1.0,Ask agent
"Westhorne Avenue, LONDON, London, SE9","£475,000",Terraced,3.0,1.0,Ask agent
"East Dulwich Road, East Dulwich, SE22","£475,000",Flat,2.0,1.0,Ask agent
"Harrowby Street, Marylebone","£475,000",Apartment,1.0,1.0,Ask agent
"Scrubs Lane, College Park, London","£475,000",Flat,2.0,1.0,689 sq ft
"Sloane Avenue, Chelsea","£475,000",Studio,,1.0,Ask agent
"Gosset Street, London, E2","£475,000",Duplex,2.0,1.0,660 sq ft
"Brent House, Nine Elms Point, Nine Elms, London, SW8","£475,000",Studio,,1.0,392 sq ft
"Haldane Place, London, SW18","£475,000",Flat,3.0,1.0,Ask agent
"Battersea High Street, Battersea, London","£475,000",Apartment,3.0,1.0,Ask agent
"Slades Hill, Enfield, Middlesex, EN2","£475,000",Apartment,2.0,,Ask agent
"Ironworks Way, London, E13","£475,000",Apartment,2.0,2.0,Ask agent
"Gordon Road, Ealing, W5","£475,000",Character Property,2.0,1.0,648 sq ft
"Church Road, Teddington, London, TW11","£475,000",Flat,1.0,1.0,457 sq ft
"Sandycombe Road, Richmond, TW9","£475,000",Apartment,1.0,1.0,545 sq ft
"Macfarlane Road, Shepherd's Bush","£475,000",Flat,2.0,1.0,Ask agent
"Trinity Road, London, N22 8LB","£475,000",Flat,3.0,1.0,638 sq ft
"Spa Road, London, SE16","£475,000",Apartment,2.0,1.0,887 sq ft
"Pancras Way, Bow","£475,000",Flat,2.0,2.0,Ask agent
"Union Lane, Isleworth, TW7","£475,000",Flat,3.0,2.0,"1,042 sq ft"
"Prebend Street, Islington","£475,000",Flat,1.0,1.0,Ask agent
"Fairhazel Gardens, South Hampstead","£475,000",Flat,2.0,1.0,Ask agent
"Wildfell Road, London, Greater London, SE6 4HU","£475,000",Terraced,2.0,1.0,717 sq ft
"Deverell Street, London Bridge","£475,000",Flat,2.0,1.0,Ask agent
"Highwood Close, East Dulwich, London, SE22","£475,000",Apartment,2.0,2.0,Ask agent
"Norman Road, London","£475,000",Flat,2.0,2.0,Ask agent
"Viscount House, NW10 7GT, London, NW10 7GT","£475,000",Flat,2.0,2.0,Ask agent
"Barge Walk, London","£475,000",Apartment,2.0,2.0,Ask agent
"Ability Place, Millharbour, London E14","£475,000",Apartment,1.0,1.0,Ask agent
"Sloane Avenue, Chelsea","£475,000",Studio,,1.0,Ask agent
"Ashburnham Road, Richmond, TW10","£475,000",Maisonette,3.0,1.0,936 sq ft
"Northborough Road, London, SW16","£475,000",Terraced,5.0,2.0,Ask agent
"Pan Peninsula Square, London, E14","£475,000",Flat,1.0,1.0,Ask agent
"Florence Road, Finsbury Park, N4","£475,000",Flat,2.0,1.0,552 sq ft
"East Dulwich Road, East Dulwich, London , SE22","£475,000",Apartment,2.0,1.0,Ask agent
"Gostling Road, Twickenham","£475,000",End of Terrace,2.0,1.0,675 sq ft
"Glebe Cottages, Hanworth","£475,000",Terraced,3.0,1.0,Ask agent
"Embassy Lodge, Regents Park Road, N3","£475,000",Flat,2.0,1.0,957 sq ft
"Glanville Road, London, SW2","£475,000",Terraced,2.0,2.0,Ask agent
"Canterbury Road, London","£475,000",Apartment,1.0,1.0,587 sq ft
"Hamme Building, Gallions Reach, London, E16","£475,000",Flat,2.0,2.0,929 sq ft
"Leybourne Road, Bushwood Area, E11","£475,000",Flat,2.0,,Ask agent
"Northcote, 
Between the Commons, SW11","£475,000",Flat,1.0,1.0,515 sq ft
"Athenlay Road, Peckham","£475,000",Flat,2.0,1.0,Ask agent
"Cobblestone Square, Wapping, London, E1W","£475,000",Flat,1.0,1.0,570 sq ft
"Badric Court, Yelverton Road, Battersea, London, SW11","£475,000",Flat,3.0,2.0,941 sq ft
"Gurdon Road, Charlton","£475,000",Flat,2.0,1.0,Ask agent
"Parkhurst Road, Manor Park, London, E12","£475,000",Terraced,3.0,1.0,Ask agent
"Waterside Way, Tottenham, London, N17","£475,000",Flat,2.0,2.0,765 sq ft
"Huntingdon Street, Islington","£475,000",Flat,1.0,1.0,Ask agent
